date,chl_a,mean_sst,month
2018-01-01,0.20973630100000001,27.73185779,Jan
2018-02-01,0.190109073,28.83571364,Feb
2018-03-01,0.257010271,29.84654801,Mar
2018-04-01,0.275068758,29.70675609,Apr
2018-05-01,0.417669805,28.14121559,May
2018-06-01,0.3640231,27.36442921,Jun
2018-07-01,0.392863949,26.2894637,Jul
2018-08-01,0.24292805,26.30668123,Aug
2018-09-01,0.267255186,26.48225605,Sep
2018-10-01,0.329389607,26.90123834,Oct
2018-11-01,0.243912893,28.09774273,Nov
2018-12-01,0.339852841,28.99056953,Dec
2019-01-01,0.254290512,28.99969233,Jan
2019-02-01,0.195657234,29.28126061,Feb
2019-03-01,0.249289092,29.99747721,Mar
2019-04-01,0.253015782,30.42734445,Apr
2019-05-01,0.372306435,28.48564157,May
2019-06-01,0.352318065,27.34358346,Jun
2019-07-01,0.326139042,26.67662103,Jul
2019-08-01,0.256318742,26.3952649,Aug
2019-09-01,0.282403155,26.75630571,Sep
2019-10-01,0.333249511,28.2043799,Oct
2019-11-01,0.300090579,28.81302567,Nov
2019-12-01,0.269161524,29.83137101,Dec
2020-01-01,0.205172954,29.32802566,Jan
2020-02-01,0.266267531,29.53311337,Feb
2020-03-01,0.318749053,30.41438529,Mar
2020-04-01,0.48471748,30.26939185,Apr
2020-05-01,0.355018783,28.41087656,May
2020-06-01,0.384921701,27.3461836,Jun
2020-07-01,0.359697108,26.48685782,Jul
2020-08-01,0.350763303,25.56626069,Aug
2020-09-01,0.240363933,26.54089226,Sep
2020-10-01,0.238778036,27.93459028,Oct
2020-11-01,0.226155673,28.66185777,Nov
2020-12-01,0.263904003,29.18920289,Dec
2021-01-01,0.257459163,28.49394673,Jan
2021-02-01,0.192304927,29.04718685,Feb
2021-03-01,0.169701191,29.92415862,Mar
2021-04-01,0.354510411,28.76238874,Apr
2021-05-01,0.297673838,27.46907018,May
2021-06-01,0.282917266,26.84306246,Jun
2021-07-01,0.301997621,26.27116013,Jul
2021-08-01,0.257482997,26.06575835,Aug
2021-09-01,0.261606712,26.26732084,Sep
2021-10-01,0.203795068,27.07977417,Oct
2021-11-01,0.258851682,28.40464538,Nov
2021-12-01,0.293233306,29.69464535,Dec
2022-01-01,0.251859112,28.55310747,Jan
2022-02-01,0.232717321,28.88141528,Feb
2022-03-01,0.186292606,28.52853919,Mar
2022-04-01,0.352661163,29.37249934,Apr
2022-05-01,0.308350476,28.13881516,May
2022-06-01,0.344398275,27.24132682,Jun
2022-07-01,0.356946077,25.83733887,Jul
2022-08-01,0.359837309,25.52684628,Aug
2022-09-01,0.475145828,25.69075164,Sep
2022-10-01,0.359344338,26.25445887,Oct
2022-11-01,0.295053672,27.70597283,Nov
2022-12-01,0.248647502,28.70432368,Dec
2023-01-01,0.329173566,29.01687435,Jan
2023-02-01,0.305576165,28.65322945,Feb
2023-03-01,0.249223526,29.25079581,Mar
2023-04-01,0.142405094,30.21914347,Apr
2023-05-01,0.261326661,28.5087381,May
2023-06-01,0.344870608,27.49876045,Jun
2023-07-01,0.398115174,26.65873814,Jul
2023-08-01,0.371283441,26.29040482,Aug
2023-09-01,0.380339647,26.88647261,Sep
2023-10-01,0.262802058,28.42770207,Oct
2023-11-01,0.26414192,29.56736776,Nov
2023-12-01,0.228566098,29.5718853,Dec
