date,chl_a,mean_sst
01/01/2018,0.20973630100000001,27.73185779
01/02/2018,0.190109073,28.83571364
01/03/2018,0.257010271,29.84654801
01/04/2018,0.275068758,29.70675609
01/05/2018,0.417669805,28.14121559
01/06/2018,0.3640231,27.36442921
01/07/2018,0.392863949,26.2894637
01/08/2018,0.24292805,26.30668123
01/09/2018,0.267255186,26.48225605
01/10/2018,0.329389607,26.90123834
01/11/2018,0.243912893,28.09774273
01/12/2018,0.339852841,28.99056953
01/01/2019,0.254290512,28.99969233
01/02/2019,0.195657234,29.28126061
01/03/2019,0.249289092,29.99747721
01/04/2019,0.253015782,30.42734445
01/05/2019,0.372306435,28.48564157
01/06/2019,0.352318065,27.34358346
01/07/2019,0.326139042,26.67662103
01/08/2019,0.256318742,26.3952649
01/09/2019,0.282403155,26.75630571
01/10/2019,0.333249511,28.2043799
01/11/2019,0.300090579,28.81302567
01/12/2019,0.269161524,29.83137101
01/01/2020,0.205172954,29.32802566
01/02/2020,0.266267531,29.53311337
01/03/2020,0.318749053,30.41438529
01/04/2020,0.48471748,30.26939185
01/05/2020,0.355018783,28.41087656
01/06/2020,0.384921701,27.3461836
01/07/2020,0.359697108,26.48685782
01/08/2020,0.350763303,25.56626069
01/09/2020,0.240363933,26.54089226
01/10/2020,0.238778036,27.93459028
01/11/2020,0.226155673,28.66185777
01/12/2020,0.263904003,29.18920289
01/01/2021,0.257459163,28.49394673
01/02/2021,0.192304927,29.04718685
01/03/2021,0.169701191,29.92415862
01/04/2021,0.354510411,28.76238874
01/05/2021,0.297673838,27.46907018
01/06/2021,0.282917266,26.84306246
01/07/2021,0.301997621,26.27116013
01/08/2021,0.257482997,26.06575835
01/09/2021,0.261606712,26.26732084
01/10/2021,0.203795068,27.07977417
01/11/2021,0.258851682,28.40464538
01/12/2021,0.293233306,29.69464535
01/01/2022,0.251859112,28.55310747
01/02/2022,0.232717321,28.88141528
01/03/2022,0.186292606,28.52853919
01/04/2022,0.352661163,29.37249934
01/05/2022,0.308350476,28.13881516
01/06/2022,0.344398275,27.24132682
01/07/2022,0.356946077,25.83733887
01/08/2022,0.359837309,25.52684628
01/09/2022,0.475145828,25.69075164
01/10/2022,0.359344338,26.25445887
01/11/2022,0.295053672,27.70597283
01/12/2022,0.248647502,28.70432368
01/01/2023,0.329173566,29.01687435
01/02/2023,0.305576165,28.65322945
01/03/2023,0.249223526,29.25079581
01/04/2023,0.142405094,30.21914347
01/05/2023,0.261326661,28.5087381
01/06/2023,0.344870608,27.49876045
01/07/2023,0.398115174,26.65873814
01/08/2023,0.371283441,26.29040482
01/09/2023,0.380339647,26.88647261
01/10/2023,0.262802058,28.42770207
01/11/2023,0.26414192,29.56736776
01/12/2023,0.228566098,29.5718853
